Disease,Symptoms,Type
Iron Deficiency Anemia,"tiredness, brittle nails",Normal
Sweet Syndrome,fever and painful skin lesions,Serious
Carbuncle,"cluster of boils, fever",Serious
Bruxism,"jaw pain, teeth grinding",Normal
Excessive Sweating,"uncontrolled sweating, damp palms",Normal
Lymphoma,"fatigue, swollen lymph nodes",Critical
Heart Attack,"nausea, sweating, chest pain, shortness of breath",Critical
Macular Degeneration,"blurred central vision, distorted lines",Serious
Pseudofolliculitis Barbae,razor bumps from ingrown hairs,Normal
Endocarditis,"fatigue, heart murmur, chills",Serious
Spider Veins,small web-like veins on skin,Normal
Pediculosis (Lice),"itching, nits in hair",Normal
Muscular Dystrophy,"muscle weakness, frequent falls",Critical
Milium,tiny white bumps on face,Normal
Gas Gangrene,"swelling, severe pain, gas in tissue",Critical
PTSD,"flashbacks, anxiety, nightmares",Serious
Guillain-Barre Syndrome,"paralysis, tingling, weakness",Critical
Trigger Finger,finger stuck in bent position,Normal
Rabies,"hydrophobia, anxiety, confusion",Critical
Snoring,noisy breathing during sleep,Normal
Listeriosis,"muscle aches, stiff neck, fever",Serious
Common Warts,rough skin growths,Normal
Sebaceous Cyst,slow-growing bump under skin,Normal
Albinism,lack of pigment in skin/hair/eyes,Normal
Anthrax,"skin sores, fever, breathing issues",Critical
Rickets,"bowed legs, bone pain, delayed growth",Serious
Dissociative Identity,presence of multiple personalities,Serious
Diabetic Retinopathy,"vision loss, blurred vision, eye pain",Serious
Tinea Pedis,athlete's foot,Normal
Flat Warts,smooth small skin-colored warts,Normal
Impetigo,"red sores, blisters, itching",Normal
Blister,fluid-filled pocket on skin,Normal
Deep Vein Thrombosis,"pain, redness, warmth, leg swelling",Serious
Blister,fluid-filled pocket on skin,Normal
Ganglion Cyst,"lump on wrist or hand, pain",Normal
Cataracts,"difficulty seeing at night, cloudy vision",Normal
Rabies,hydrophobia,Critical
Skin Tags,small flesh-colored growths,Normal
Hydatid Disease,"cysts in liver or lungs, pain",Serious
Whooping Cough,"whooping sound, vomiting",Serious
Antisocial Personality,impulsivity,Serious
Cellulitis,"fever, pain, redness",Serious
Acne Vulgaris,"pimples, blackheads, oily skin",Normal
IBS,"bloating, stomach cramps, constipation, diarrhea",Normal
Keloids,raised thickened scar tissue,Normal
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Kidney Stones,"blood in urine, severe back pain, nausea",Serious
Endometriosis,"pelvic pain, infertility",Serious
Giardiasis,"nausea, diarrhea, stomach cramps, gas",Normal
Seasonal Affective Disorder,depression during winter months,Normal
Glanders,"muscle aches, fever, chest pain",Serious
Constipation,"abdominal pain, bloating, difficulty passing stool",Normal
Fatty Liver Disease,"pain in upper right abdomen, fatigue",Serious
Diabetic Retinopathy,"eye pain, blurred vision",Serious
Diabetic Retinopathy,blurred vision,Serious
Yellow Fever,"chills, fever, jaundice, muscle aches, headache",Critical
Cellulitis,"redness, swelling, fever, pain",Serious
Raynaud's Disease,"cold fingers, color change to white/blue",Normal
RSV,"wheezing, fever, cough, runny nose",Normal
Gas Gangrene,"swelling, gas in tissue",Critical
Measles,"rash, fever, cough",Normal
Corns,hard thickened skin on toes,Normal
Lipoma,soft fatty lump under skin,Normal
Erythema Multiforme,target-like skin lesions,Normal
Osteoarthritis,"joint pain, swelling, stiffness",Normal
COPD,"fatigue, chronic cough, breathlessness, mucus, wheezing",Serious
Hemangioma,bright red birthmark,Normal
Sinusitis,"headache, facial pain, pressure, nasal congestion",Normal
Traction Alopecia,hair loss from tight styles,Normal
Jock Itch,"itching, redness in groin area",Normal
Morton's Neuroma,"feeling of pebble in shoe, toe pain",Normal
Fragile X Syndrome,"developmental delays, learning disabilities",Serious
Tooth Decay,"toothache, black spots, sensitivity",Normal
Lymphoma,"night sweats, fatigue, swollen lymph nodes",Critical
Lordosis,excessive inward curve of lower back,Normal
Influenza,"high fever, cough, body ache, chills, headache, fatigue",Normal
Salmonellosis,"diarrhea, fever, stomach cramps",Normal
Hypoglycemia,"dizziness, confusion, hunger, sweating",Serious
Antisocial Personality,"impulsivity, disregard for rules",Serious
HIV/AIDS,"fever, infections, fatigue, weight loss",Critical
Listeriosis,"muscle aches, stiff neck, fever",Serious
Rat-bite Fever,rash,Serious
Spider Veins,small web-like veins on skin,Normal
Buruli Ulcer,large painless skin ulcer,Serious
Stye,"red lump on eyelid, pain",Normal
Syphilis,"fatigue, rash, fever, painless sores",Serious
Lymphedema,swelling in arms or legs,Serious
Pityriasis Rosea,large herald patch followed by small spots,Normal
Acne Vulgaris,"pimples, oily skin",Normal
Filariasis,swelling of limbs (elephantiasis),Serious
ALS,"twitching, difficulty speaking",Critical
Gas and Bloating,"abdominal pressure, flatulence",Normal
Typhoid Fever,weakness,Serious
Bell's Palsy,"drooping, difficulty speaking, facial weakness",Normal
Deep Vein Thrombosis,"redness, leg swelling, pain",Serious
Pruritus (Itching),unpleasant sensation inciting scratch,Normal
Fixed Drug Eruption,recurring rash in same spot,Normal
Multiple Sclerosis,"numbness, fatigue, vision problems",Serious
Sleepwalking,walking while asleep,Normal
Alzheimer's Disease,"memory loss, difficulty thinking",Critical
IBS,"bloating, stomach cramps, diarrhea",Normal
Kyphosis,rounded upper back (hunchback),Normal
Personality Disorder,behavior issues,Serious
Anaphylaxis,"hives, difficulty breathing, swelling",Critical
Concussion,"memory loss, dizziness, headache, confusion",Serious
Fatty Liver Disease,"pain in upper right abdomen, fatigue",Serious
MERS,"cough, fever, shortness of breath",Critical
Stroke,"confusion, vision problems, headache",Critical
Hemangioma,bright red birthmark,Normal
Hashimoto's Thyroiditis,"dry skin, weight gain, cold intolerance",Serious
Rickets,delayed growth,Serious
Kawasaki Disease,"rash, high fever, red eyes, swelling",Serious
Pneumonia,"difficulty breathing, cough, fever, fatigue, chest pain, chills",Serious
Rickets,"delayed growth, bowed legs",Serious
Polio,"muscle weakness, fever, paralysis",Critical
Concussion,"headache, memory loss, dizziness, confusion",Serious
Chickenpox,"fatigue, fever, itchy rash, loss of appetite",Normal
Tonsillitis,"fever, difficulty swallowing, swollen tonsils",Normal
Type 1 Diabetes,"excessive thirst, frequent urination",Serious
Photosensitivity,rash after sun exposure,Normal
Coronary Artery Disease,"chest pain, fatigue, shortness of breath",Serious
Endocarditis,"fatigue, fever, chills, heart murmur",Serious
Tonsillitis,"difficulty swallowing, fever, sore throat, swollen tonsils",Normal
Angioedema,deep swelling under skin,Serious
Hypothyroidism,"fatigue, dry skin, weight gain",Normal
Paronychia,redness and swelling around nail,Normal
Addison Disease,"low blood pressure, dizziness, fatigue",Serious
Rotavirus,"fever, vomiting, watery diarrhea",Normal
Atherosclerosis,"chest pain, fatigue, numbness",Serious
Chickenpox,"fever, fatigue, itchy rash, loss of appetite",Normal
Skin Cancer,"bleeding, lesions",Critical
Leishmaniasis,"skin sores, fever, weight loss",Serious
Ingrown Toenail,"redness, swelling at nail corner",Normal
ADHD,"impulsiveness, hyperactivity, inattention",Normal
Dysgraphia,"difficulty writing, poor handwriting",Normal
Thrush (Vaginal),"itching, thick white discharge",Normal
Carbuncles,cluster of boils,Serious
Dry Mouth (Xerostomia),sticky feeling,Normal
Epiglottitis,"severe sore throat, difficulty breathing, drooling",Critical
Tendonitis,"swelling, pain",Normal
Hirsutism,excessive hair growth in women,Normal
Lichen Planus,"itching, purple flat bumps",Normal
Pinta,discolored skin patches,Normal
Buruli Ulcer,large painless skin ulcer,Serious
Seborrheic Dermatitis,"scaly patches, dandruff",Normal
Avian Flu,fever,Critical
Scoliosis,"back pain, uneven shoulders, curved spine",Serious
Paronychia,redness and swelling around nail,Normal
Baker's Cyst,"tightness, swelling behind the knee",Normal
River Blindness,"vision loss, skin bumps, severe itching",Serious
Acne,"oily skin, blackheads, pimples, inflammation",Normal
Restless Legs Syndrome,"crawling sensation, urge to move legs",Normal
Heart Attack,"shortness of breath, nausea, sweating, chest pain",Critical
Bullous Pemphigoid,large firm skin blisters,Serious
Peptic Ulcer,"bloating, nausea, burning stomach pain",Serious
Antisocial Personality,"disregard for rules, impulsivity",Serious
Stroke,"sudden weakness, vision problems, headache, confusion",Critical
Migraine,"light sensitivity, vomiting, severe headache",Normal
Hiatal Hernia,"heartburn, chest pain",Serious
Thyroid Cancer,"fatigue, weight loss, neck lump, hoarseness",Critical
Phobia,anxiety,Normal
Croup,"fever, hoarseness",Normal
Patau Syndrome,"physical abnormalities, brain defects",Critical
Ankylosing Spondylitis,"back pain, stiffness in morning",Serious
Influenza B,"chills, fever, cough, fatigue",Normal
Whiplash,"neck pain, stiffness after injury",Normal
Sleepwalking,"walking while asleep, no memory",Normal
Gas and Bloating,"abdominal pressure, flatulence",Normal
Mono (Mononucleosis),"swollen lymph nodes, sore throat, fatigue",Normal
Cerebral Palsy,"stiffness, poor coordination",Serious
Tinea Corporis,body ringworm,Normal
Hyperglycemia,thirst,Serious
Ichthyosis Vulgaris,"dry, scaly skin like fish scales",Normal
Lichen Sclerosus,white thin skin in genital area,Normal
Genu Valgum (Knock Knees),knees touch while ankles apart,Normal
Lyme Disease,fatigue,Serious
Morton's Neuroma,"toe pain, feeling of pebble in shoe",Normal
Smallpox,"fatigue, pustules on skin, fever",Critical
Heart Attack,"nausea, shortness of breath, chest pain, sweating",Critical
Dry Eye Syndrome,"gritty feeling, redness, blurred vision",Normal
Acromegaly,"facial changes, enlarged hands, fatigue",Serious
Spider Bite,"pain, swelling",Normal
Insect Bite,"swelling, red bump, itching",Normal
Synovitis,"stiffness, joint swelling, pain",Normal
Thalassemia,"fatigue, weakness, pale skin, dark urine",Serious
Tuberculosis,"night sweats, fatigue, chest pain, weight loss",Serious
Spina Bifida Occulta,"small gap in spine, skin tuft",Normal
PCOS,weight gain,Normal
Umbilical Hernia,bulge at the belly button,Normal
Bed Bug Bites,itchy red bumps in a line,Normal
Port-Wine Stain,dark red/purple birthmark,Normal
Morton's Neuroma,"toe pain, feeling of pebble in shoe",Normal
Astigmatism,blurred vision at all distances,Normal
Ovarian Cysts,"bloating, pelvic pain",Serious
Dysgraphia,"poor handwriting, difficulty writing",Normal
Frozen Shoulder,"stiffness, shoulder pain",Normal
Liver Cirrhosis,"fatigue, jaundice, fluid buildup",Critical
Dysgraphia,difficulty writing,Normal
Obesity,"breathlessness, weight gain, joint pain, fatigue",Normal
Liver Cancer,"weight loss, fatigue, abdominal pain",Critical
Leukemia,"easy bleeding, fever, infections, fatigue",Critical
Venous Ulcers,open sores on lower legs,Serious
Tapeworm Infection,"weight loss, weakness",Normal
Erectile Dysfunction,"difficulty maintaining erection, low libido",Normal
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Paronychia,redness and swelling around nail,Normal
Dermatographism,raised marks after scratching skin,Normal
Acne,"blackheads, inflammation, pimples",Normal
Type 1 Diabetes,"excessive thirst, weight loss, frequent urination",Serious
Syphilis,"painless sores, fatigue, rash",Serious
Fungal Infection,"itching, redness, scaling, irritation",Normal
Dementia,"confusion, memory loss",Serious
Hyperopia,difficulty seeing close objects,Normal
Pancreatitis,"vomiting, fever, upper abdominal pain, nausea",Serious
Dyshidrotic Eczema,small blisters on hands/feet,Normal
Lichen Planus,"purple flat bumps, itching",Normal
Vertigo,"spinning sensation, nausea, dizziness, balance issues",Normal
Sciatica,lower back pain,Normal
Sweet Syndrome,fever and painful skin lesions,Serious
Scurvy,"bruising, bleeding gums, weakness",Serious
Pressure Sores (Bedsores),skin breakdown from prolonged pressure,Serious
Bee Sting,"redness, sharp pain, swelling",Normal
Gas and Bloating,flatulence,Normal
Common Wart,"rough skin growths, black dots",Normal
Hemorrhoids,"itching, rectal pain, bleeding",Normal
Pinta,discolored skin patches,Normal
Erectile Dysfunction,"low libido, difficulty maintaining erection",Normal
Paget's Disease of Bone,"fractures, bone pain, hearing loss",Serious
Pericarditis,"fever, chest pain, palpitations",Serious
Fragile X Syndrome,"developmental delays, learning disabilities",Serious
Nosebleed,bleeding from nostrils,Normal
Sickle Cell Anemia,"swelling, fatigue, infections",Critical
Bullous Pemphigoid,large firm skin blisters,Serious
Rocky Mountain Spotted Fever,"headache, spotted rash, fever",Serious
Conjunctivitis (Pink Eye),"tearing, itching, redness, discharge",Normal
Neck Pain,"neck stiffness, headaches, pain",Normal
Spondylolisthesis,"lower back pain, stiffness",Serious
Borderline Personality,"unstable moods, relationship issues",Serious
Leprosy,"skin lesions, numbness",Serious
Dupuytren's Contracture,fingers pulled toward palm,Normal
Callus,thickened skin from friction,Normal
Food Poisoning,"vomiting, stomach cramps, diarrhea, nausea, dehydration",Normal
OCD,"anxiety, compulsions",Normal
Rheumatoid Arthritis,"joint pain, swelling",Serious
Myasthenia Gravis,drooping eyelids,Serious
Hookworm Infection,"itching, anemia",Serious
Herniated Disc,"leg pain, numbness",Serious
Hypertension,chest pain,Serious
Anthrax (Cutaneous),skin sore with black center,Serious
Leprosy,"muscle weakness, numbness, skin lesions",Serious
Chronic Fatigue Syndrome,"muscle pain, extreme fatigue, memory issues",Serious
Carbuncle,"fever, cluster of boils, pain",Serious
Hepatitis,"abdominal pain, dark urine, nausea, jaundice, fatigue",Serious
Chlamydia,"discharge, painful urination, pelvic pain",Serious
Gouty Arthritis,"sudden intense joint pain, redness",Serious
Typhoid,"prolonged fever, weakness, abdominal pain",Serious
Intertrigo,rash in skin folds,Normal
Fungal Infection,"irritation, scaling, itching, redness",Normal
Whooping Cough,"severe coughing, whooping sound, vomiting",Serious
Acne Vulgaris,"blackheads, pimples, oily skin",Normal
Tinea Cruris,jock itch,Normal
Nosebleed,bleeding from nostrils,Normal
Substance Abuse Disorder,"addiction, withdrawal, behavior changes",Serious
Impetigo,"blisters, itching",Normal
Graves' Disease,"anxiety, hand tremors, bulging eyes, weight loss",Serious
Rickets,"bowed legs, bone pain, delayed growth",Serious
Erythema Infectiosum,slapped cheek rash,Normal
Melanoma,"dark spots, bleeding, mole changes",Critical
Cushing's Syndrome,"purple stretch marks, moon face, weight gain",Serious
Color Blindness,difficulty seeing certain colors,Normal
